	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast
Luc7l2	1883.93182913067	-0.0311588684006202	0.127822241201311	-0.243767188775443	0.807411133412607	0.896133453555465	C57BL6J_F0_Control-BALBcJ_F0_Control
Scamp5	1803.63459510588	-0.0168561219314496	0.120184291238323	-0.140252288862146	0.88846065960218	0.938935810147698	C57BL6J_F0_Control-BALBcJ_F0_Control
Xpo6	1744.27878025842	0.172691431451711	0.123445934949425	1.39892359778766	0.161835895350474	0.333506400098422	C57BL6J_F0_Control-BALBcJ_F0_Control
Ogfod1	370.819787470542	0.00910956715470622	0.17072296947342	0.0533587670294389	0.957446057527653	0.978121378951204	C57BL6J_F0_Control-BALBcJ_F0_Control
Stard5	1170.63062079841	-0.0947392987983598	0.128459058653166	-0.737505784268217	0.460814826956568	0.658432823793411	C57BL6J_F0_Control-BALBcJ_F0_Control
Vps72	311.070725080632	-0.115778235891606	0.178615328105092	-0.648198769500262	0.516856397687599	0.705836822340207	C57BL6J_F0_Control-BALBcJ_F0_Control
Cisd1	73.7085128367376	-0.30858328559535	0.290739986554099	-1.0613720157751	0.28852086934205	0.493907514549357	C57BL6J_F0_Control-BALBcJ_F0_Control
Cwc25	242.3122162626	0.0406540748652	0.222656258904402	0.182586714899647	0.85512230908045	0.922056905698509	C57BL6J_F0_Control-BALBcJ_F0_Control
Fbxw9	172.024006627577	-0.224787949081633	0.22051130917462	-1.01939419761744	0.308015859716339	0.515309659215461	C57BL6J_F0_Control-BALBcJ_F0_Control
Ets2	1780.20031255232	-0.0563372559484272	0.171420080952154	-0.328650270350484	0.742420046519875	0.857430264696853	C57BL6J_F0_Control-BALBcJ_F0_Control
Pik3r2	831.897622385034	-0.00116875136065537	0.136483015604124	-0.00856334654888782	0.993167521505244	0.996548295995836	C57BL6J_F0_Control-BALBcJ_F0_Control
Zfp317	310.278573283377	-0.0691991618226781	0.18588188934847	-0.372274900288707	0.709688184461907	0.837935226147627	C57BL6J_F0_Control-BALBcJ_F0_Control
Dgkz	5311.89639329611	0.215876076883495	0.106267733960017	2.03143577865993	0.0422108080685966	0.128680840508243	C57BL6J_F0_Control-BALBcJ_F0_Control
Blnk	152.200566203806	-1.33793855070442	0.261688097143303	-5.11272222661219	3.17549074803766e-07	5.30217017275831e-06	C57BL6J_F0_Control-BALBcJ_F0_Control
Dusp10	173.776297928591	1.70028975661949	0.281438303440996	6.04142981190178	1.52754455688931e-09	3.53688866586092e-08	C57BL6J_F0_Control-BALBcJ_F0_Control
Susd1	354.514656329592	-2.75893373063094	0.201428267930327	-13.6968547611463	1.06018137609357e-42	1.33200492891493e-40	C57BL6J_F0_Control-BALBcJ_F0_Control
Med10	163.89630005075	-0.435483045174758	0.225639504089705	-1.92999469189415	0.0536074954575343	0.153645417048071	C57BL6J_F0_Control-BALBcJ_F0_Control
Sept8	1173.39508470583	-0.885951039070535	0.130184058334633	-6.80537271924055	1.00787953694649e-11	3.13999543543005e-10	C57BL6J_F0_Control-BALBcJ_F0_Control
Zbed6	1049.45632586179	0.203705649008388	0.127030397281607	1.60359766927914	0.108802764830685	0.254511108447293	C57BL6J_F0_Control-BALBcJ_F0_Control
Stam	375.968948930576	-0.0902417158831747	0.167969930054934	-0.537249231774171	0.591095468475704	0.757247097761978	C57BL6J_F0_Control-BALBcJ_F0_Control
Rcsd1	2352.51264283017	0.309334786667513	0.110710456168936	2.79408826746673	0.00520462704040039	0.0260197401419625	C57BL6J_F0_Control-BALBcJ_F0_Control
Ywhah	935.984346708388	-0.61742811002032	0.141132977990122	-4.37479686755802	1.21545608394892e-05	0.000142653222471432	C57BL6J_F0_Control-BALBcJ_F0_Control
Etfdh	392.092431718334	-0.174011579574235	0.167985453062076	-1.03587290686374	0.300261438801388	0.505648075247871	C57BL6J_F0_Control-BALBcJ_F0_Control
Ascc2	550.687138625297	0.624952270669344	0.153420098866302	4.07347065532762	4.63176897899186e-05	0.000472070435075011	C57BL6J_F0_Control-BALBcJ_F0_Control
Trp53bp1	695.263467596095	-0.0883941860483829	0.147580077678216	-0.598957443572552	0.549201263636469	0.728400648084817	C57BL6J_F0_Control-BALBcJ_F0_Control
Ugp2	844.84328450558	-0.292837098413514	0.132461150916007	-2.21073949900375	0.0270538815931973	0.0928999035923109	C57BL6J_F0_Control-BALBcJ_F0_Control
D830050J10Rik	173.187250454085	0.279638225524723	0.218955309813909	1.27714749536053	0.201550179462635	0.38641170994057	C57BL6J_F0_Control-BALBcJ_F0_Control
Pgghg	304.385920197774	0.176848582996918	0.195075435474867	0.906565106808146	0.364636820806637	0.569584874136125	C57BL6J_F0_Control-BALBcJ_F0_Control
Osbp	909.743911577558	-0.117441002891818	0.14398565546059	-0.815643770319624	0.414703907701092	0.619673031218479	C57BL6J_F0_Control-BALBcJ_F0_Control
Dalrd3	680.285541700509	-0.0114043855636074	0.146225273636051	-0.0779918907315052	0.937834503603498	0.967631076415887	C57BL6J_F0_Control-BALBcJ_F0_Control
Alpk1	1712.64332608535	-0.875425377906336	0.146106231806474	-5.99170457743298	2.07652890094201e-09	4.73646354072011e-08	C57BL6J_F0_Control-BALBcJ_F0_Control
Tmem8	375.647511647704	-0.711881921822236	0.172057966048774	-4.13745401140239	3.51180806438914e-05	0.000370213163761738	C57BL6J_F0_Control-BALBcJ_F0_Control
Tnks1bp1	349.8053059922	0.285567209958691	0.171264005549468	1.66740938379027	0.0954330292301123	0.231969151925018	C57BL6J_F0_Control-BALBcJ_F0_Control
Gas5	155.537930282457	0.106862529276109	0.225925493746197	0.472998985214821	0.636213903167856	0.787071949282989	C57BL6J_F0_Control-BALBcJ_F0_Control
Atxn7l1	162.837814638805	0.160507322448017	0.219570038537944	0.731007397533793	0.464774634473267	0.661894089844983	C57BL6J_F0_Control-BALBcJ_F0_Control
Senp6	792.947999629167	0.05412271607171	0.134462082196511	0.402512851114499	0.687306632514163	0.820997199437118	C57BL6J_F0_Control-BALBcJ_F0_Control
Nup153	1337.87664129517	0.199143570266473	0.123460592652384	1.61301323756951	0.106741631869414	0.251326533532162	C57BL6J_F0_Control-BALBcJ_F0_Control
Sub1	295.894844320868	-0.122107917564105	0.197650875644981	-0.617795985803947	0.536709829882341	0.719367634875526	C57BL6J_F0_Control-BALBcJ_F0_Control
Abcc5	2033.681794318	0.235740904421516	0.111327045882068	2.11755286016701	0.0342129540596048	0.10984837868153	C57BL6J_F0_Control-BALBcJ_F0_Control
Klf9	739.105385403929	0.632882400691389	0.162001845321413	3.90663698574388	9.3589595089616e-05	0.000888811222759376	C57BL6J_F0_Control-BALBcJ_F0_Control
Fnbp4	1894.21246253131	0.255258644146897	0.135348068885068	1.88594226906667	0.0593027346732345	0.164840295409286	C57BL6J_F0_Control-BALBcJ_F0_Control
Scd2	836.467515573121	0.502803307716823	0.19667571280493	2.55650939582724	0.010572821571012	0.0455737370754981	C57BL6J_F0_Control-BALBcJ_F0_Control
Grsf1	959.676223375462	0.241107085984073	0.130352925136592	1.84964845040052	0.0643642348258112	0.17436814977201	C57BL6J_F0_Control-BALBcJ_F0_Control
Snrpd1	57.5585698191147	-0.298129934560722	0.31868757457272	-0.935492809722626	0.349534387142502	0.556582493883261	C57BL6J_F0_Control-BALBcJ_F0_Control
Mettl13	233.233310755851	0.316890271975799	0.19833865759714	1.59772318626587	0.110104596239919	0.256720908300194	C57BL6J_F0_Control-BALBcJ_F0_Control
4930453N24Rik	136.520820021472	0.0238574185919571	0.235996700331906	0.101092170180363	0.919477293495755	0.957886018119298	C57BL6J_F0_Control-BALBcJ_F0_Control
Ddx39	293.280762128193	-0.838753948238082	0.192748864078276	-4.35153769776542	1.35186072015325e-05	0.000157217914404469	C57BL6J_F0_Control-BALBcJ_F0_Control
Pram1	714.507246452018	1.19316404839817	0.14314094166432	8.33558892742414	7.71133935496604e-17	3.67078911903476e-15	C57BL6J_F0_Control-BALBcJ_F0_Control
